,date,day_name,app,cuenta
411,2016-02-16,2.Tuesday,Twitter,0.0
412,2016-02-17,3.Wednesday,Twitter,0.0
413,2016-02-18,4.Thursday,Twitter,0.0
414,2016-02-19,5.Friday,Twitter,0.0
415,2016-02-20,6.Saturday,Twitter,0.0
416,2016-02-21,7.Sunday,Twitter,0.0
417,2016-02-22,1.Monday,Twitter,0.0
418,2016-02-23,2.Tuesday,Twitter,0.0
419,2016-02-24,3.Wednesday,Twitter,0.0
420,2016-02-25,4.Thursday,Twitter,0.0
421,2016-02-26,5.Friday,Twitter,0.0
422,2016-02-27,6.Saturday,Twitter,0.0
423,2016-02-28,7.Sunday,Twitter,0.0
424,2016-02-29,1.Monday,Twitter,0.0
425,2016-03-01,2.Tuesday,Twitter,0.0
426,2016-03-02,3.Wednesday,Twitter,0.0
427,2016-03-03,4.Thursday,Twitter,0.0
428,2016-03-04,5.Friday,Twitter,0.0
429,2016-03-05,6.Saturday,Twitter,0.0
430,2016-03-06,7.Sunday,Twitter,0.0
431,2016-03-07,1.Monday,Twitter,0.0
432,2016-03-08,2.Tuesday,Twitter,0.0
433,2016-03-09,3.Wednesday,Twitter,0.0
434,2016-03-10,4.Thursday,Twitter,0.0
435,2016-03-11,5.Friday,Twitter,0.0
436,2016-03-12,6.Saturday,Twitter,0.0
437,2016-03-13,7.Sunday,Twitter,0.0
438,2016-03-14,1.Monday,Twitter,0.0
439,2016-03-15,2.Tuesday,Twitter,0.0
440,2016-03-16,3.Wednesday,Twitter,0.0
441,2016-03-17,4.Thursday,Twitter,0.0
442,2016-03-18,5.Friday,Twitter,0.0
443,2016-03-19,6.Saturday,Twitter,0.0
444,2016-03-20,7.Sunday,Twitter,0.0
445,2016-03-21,1.Monday,Twitter,0.0
446,2016-03-22,2.Tuesday,Twitter,0.0
447,2016-03-23,3.Wednesday,Twitter,0.0
448,2016-03-24,4.Thursday,Twitter,0.0
449,2016-03-25,5.Friday,Twitter,0.0
450,2016-03-26,6.Saturday,Twitter,0.0
451,2016-03-27,7.Sunday,Twitter,0.0
452,2016-03-28,1.Monday,Twitter,0.0
453,2016-03-29,2.Tuesday,Twitter,0.0
454,2016-03-30,3.Wednesday,Twitter,0.0
455,2016-03-31,4.Thursday,Twitter,0.0
456,2016-04-01,5.Friday,Twitter,0.0
457,2016-04-02,6.Saturday,Twitter,0.0
458,2016-04-03,7.Sunday,Twitter,0.0
459,2016-04-04,1.Monday,Twitter,0.0
460,2016-04-05,2.Tuesday,Twitter,0.0
461,2016-04-06,3.Wednesday,Twitter,0.0
462,2016-04-07,4.Thursday,Twitter,0.0
463,2016-04-08,5.Friday,Twitter,0.0
464,2016-04-09,6.Saturday,Twitter,0.0
465,2016-04-10,7.Sunday,Twitter,0.0
466,2016-04-11,1.Monday,Twitter,0.0
467,2016-04-12,2.Tuesday,Twitter,0.0
468,2016-04-13,3.Wednesday,Twitter,0.0
469,2016-04-14,4.Thursday,Twitter,0.0
470,2016-04-15,5.Friday,Twitter,0.0
471,2016-04-16,6.Saturday,Twitter,0.0
472,2016-04-17,7.Sunday,Twitter,0.0
473,2016-04-18,1.Monday,Twitter,0.0
474,2016-04-19,2.Tuesday,Twitter,0.0
475,2016-04-20,3.Wednesday,Twitter,0.0
476,2016-04-21,4.Thursday,Twitter,0.0
477,2016-04-22,5.Friday,Twitter,0.0
478,2016-04-23,6.Saturday,Twitter,0.0
479,2016-04-24,7.Sunday,Twitter,0.0
480,2016-04-25,1.Monday,Twitter,0.0
481,2016-04-26,2.Tuesday,Twitter,0.0
482,2016-04-27,3.Wednesday,Twitter,0.0
483,2016-04-28,4.Thursday,Twitter,0.0
484,2016-04-29,5.Friday,Twitter,0.0
485,2016-04-30,6.Saturday,Twitter,0.0
486,2016-05-01,7.Sunday,Twitter,0.0
487,2016-05-02,1.Monday,Twitter,0.0
488,2016-05-03,2.Tuesday,Twitter,0.0
489,2016-05-04,3.Wednesday,Twitter,0.0
490,2016-05-05,4.Thursday,Twitter,0.0
491,2016-05-06,5.Friday,Twitter,0.0
492,2016-05-07,6.Saturday,Twitter,0.0
493,2016-05-08,7.Sunday,Twitter,0.0
494,2016-05-09,1.Monday,Twitter,0.0
